Date,Open,High,Low,Close,Vol.
2013-04-08,162.3,194.9,162.6,187.5,114.25K
2013-04-09,187.5,240.1,186.5,230,105.84K
2013-04-10,230,266,105,165,190.18K
2013-04-11,165,188.7,110.2,124.9,118.75K
2013-04-12,124.9,140,54.3,117,556.47K
2013-04-13,117,130,85.5,93,238.35K
2013-04-14,93,110,84.4,90,166.28K
2013-04-15,90,102,71.5,82.4,236.67K
2013-04-16,82.4,84.5,50,68.4,572.35K
2013-04-17,68.4,98.8,63.3,93.1,327.63K
2013-04-18,93.1,113,86,109,172.98K
2013-04-19,109,136.4,105.5,118.5,257.17K
2013-04-20,118.5,132,115,126.6,74.36K
2013-04-21,126.6,130.5,110,119.2,99.13K
2013-04-22,119.2,127.4,118.5,127.4,59.15K
2013-04-23,127.4,144,125,143.5,116.15K
2013-04-24,143.5,166.4,141,154.2,225.90K
2013-04-25,154.2,162,120.1,141.7,187.65K
2013-04-26,141.7,145,121.4,136.9,129.01K
2013-04-27,136.9,139.9,122.7,128,59.88K
2013-04-28,128,136.7,127.5,134.4,27.52K
2013-04-29,134.4,149.1,133,144,70.21K
2013-04-30,144,146.9,134,139.2,65.23K
2013-05-01,139.2,140.1,104,116.4,180.01K
2013-05-02,116.4,126.9,91.1,106.3,234.17K
2013-05-03,106.3,109,79,98.1,246.48K
2013-05-04,98.1,116.3,92,112.9,132.62K
2013-05-05,112.9,118.8,107,116,84.21K
2013-05-06,116,124.9,106,112.3,150.07K
2013-05-07,112.3,114,97.5,109.6,139.67K
2013-05-08,109.6,116.8,109.5,113.2,61.72K
2013-05-09,113.2,113.7,108.8,112.8,26.95K
2013-05-10,112.8,122.5,111.5,117.7,77.48K
2013-05-11,117.7,118.7,113,115.6,28.04K
2013-05-12,115.6,117.5,112.4,114.8,20.60K
2013-05-13,114.8,118.9,114.5,118,26.18K
2013-05-14,118,119.8,109.4,111.4,87.78K
2013-05-15,111.4,116.4,103,114.2,117.97K
2013-05-16,114.2,119,112.1,118.2,45.23K
2013-05-17,118.2,125.6,116.6,123.5,79.12K
2013-05-18,123.5,125.3,122.3,123.2,22.65K
2013-05-19,123.2,124.5,119.5,122.5,20.57K
2013-05-20,122.5,123.7,120.1,122,17.32K
2013-05-21,122,123.1,121.1,122.9,13.39K
2013-05-22,122.9,124.5,122,123.8,18.31K
2013-05-23,123.8,126.9,123,126.3,22.12K
2013-05-24,126.3,134,125.4,133.1,48.77K
2013-05-25,133.1,133.5,128.2,132,16.84K
2013-05-26,132,136,130.6,133.5,23.36K
2013-05-27,133.5,135.5,124,129.8,46.83K
2013-05-28,129.8,130.6,125.4,129,22.80K
2013-05-29,129,132.7,127.6,132.3,19.25K
2013-05-30,132.3,132.4,126.5,128.8,24.70K
2013-05-31,128.8,130,126.3,128.8,16.58K
2013-06-01,128.8,129.8,127.1,129.3,6.36K
2013-06-02,129.3,130.1,115,122.5,101.14K
2013-06-03,122.5,122.8,115.1,120.7,28.90K
2013-06-04,120.7,124,118.8,121.4,21.95K
2013-06-05,121.4,123.5,119.5,121.9,16.64K
2013-06-06,121.9,123.3,117,119,22.10K
2013-06-07,119,119.1,106.2,111,65.77K
2013-06-08,111,113.2,107,107.9,17.22K
2013-06-09,107.9,109,88,100.4,149.43K
2013-06-10,100.4,110.6,95,106.3,64.32K
2013-06-11,106.3,109.6,103.2,109,16.13K
2013-06-12,109,112.3,106,108.8,17.70K
2013-06-13,108.8,110.3,100.3,103.9,30.44K
2013-06-14,103.9,104.7,97.1,100,36.05K
2013-06-15,100,103.7,97.5,99.8,22.53K
2013-06-16,99.8,101.8,98.9,99.9,8.66K
2013-06-17,99.9,102.4,98.9,101.9,15.19K
2013-06-18,101.9,113.3,101,107.3,60.61K
2013-06-19,107.3,111,104.7,108.3,17.57K
2013-06-20,108.3,114.5,107.1,111.3,43.09K
2013-06-21,111.3,115,107.6,109.5,38.08K
2013-06-22,109.5,110,107.5,108.2,7.28K
2013-06-23,108.2,109,106.2,107.9,11.05K
2013-06-24,107.9,108.3,100.8,102.1,28.90K
2013-06-25,102.1,110,100,103.3,93.71K
2013-06-26,103.3,105.5,101.8,104,13.23K
2013-06-27,104,104,100.1,101.7,14.73K
2013-06-28,101.7,101.8,92.3,94.7,47.77K
2013-06-29,94.7,100.4,93,95,25.54K
2013-06-30,95,98.1,93.8,97.5,8.58K
2013-07-01,97.5,98.2,86,88.1,53.17K
2013-07-02,88.1,92.6,87.5,90.4,27.77K
2013-07-03,90.4,91.2,76,78.9,73.62K
2013-07-04,78.9,84.3,72,80,63.55K
2013-07-05,80,80.6,65.4,68.5,91.06K
2013-07-06,68.5,75,66.8,69.7,41.04K
2013-07-07,69.7,77,66.6,76.5,42.95K
